Question,Answer
What is a stock?,A stock is a type of security that represents ownership in a corporation and entitles the holder to a part of the company's profits and assets
What is a bond?,A bond is a fixed-income investment in which an investor loans money to an entity that borrows the funds for a defined period of time at a variable or fixed interest rate.
How does compound interest work?,"Compound interest is the addition of interest to the principal sum of a loan or deposit, or in other words, interest on interest."
What is a mutual fund?,A mutual fund is an investment program funded by shareholders that trades in diversified holdings and is professionally managed.
What is a 401(k)?,A 401(k) is a retirement savings plan sponsored by an employer allowing employees to save and invest tax-deferred income.
What is an IRA?,An Individual Retirement Account (IRA) is a tax-advantaged investing tool for individuals to earmark funds for retirement savings.
What is diversification in investing?,Diversification in investing is the process of allocating capital in a way that reduces the exposure to any one particular asset or risk.
What is a dividend?,A dividend is a portion of a company's earnings that is distributed to shareholders.
What is the stock market?,The stock market is a collection of markets where stocks are bought and sold.
What is the difference between a bull and a bear market?,"A bull market is characterized by rising prices, while a bear market is characterized by falling prices."
What is a hedge fund?,"A hedge fund is an alternative investment using pooled funds that employs different strategies to earn active return, or alpha, for its investors."
What is an index fund?,An index fund is a type of mutual fund with a portfolio constructed to match or track the components of a market index.
What are derivatives?,Derivatives are financial contracts whose value is linked to the price of an underlying asset or index.
What is a portfolio?,"A portfolio is a collection of financial investments like stocks, bonds, and cash equivalents, along with their fund counterparts"
How do taxes affect investments?,Taxes on investments are the financial charges placed upon gains earned by buying and selling of securities or receiving dividends.
What is a financial advisor?,A financial advisor is a professional who suggests and renders financial services to clients based on their financial situation.
What is a credit score?,A credit score is a numerical representation of a person's creditworthiness based on their credit history.
How do I budget my money?,"Budgeting is the process of creating a plan to spend your money, balancing expenses against income."
What is inflation?,"Inflation is the rate at which the general level of prices for goods and services is rising, indicating a decrease in purchasing power."
What is deflation?,"Deflation is a decrease in the general price level of goods and services, often caused by a reduction in the supply of money or credit."
What is the Federal Reserve?,"The Federal Reserve is the central bank of the United States, providing the nation with a safe, flexible, and stable monetary and financial system."
What is cryptocurrency?,Cryptocurrency is a digital or virtual currency that uses cryptography for security and operates independently of a central bank.
What is blockchain?,"Blockchain is a system of recording information in a way that makes it difficult or impossible to change, hack, or cheat the system."
What is a balance sheet?,"A balance sheet is a financial statement that summarizes a company's assets, liabilities, and shareholders' equity at a specific point in time."
What is income statement?,An income statement is a financial statement that shows a company's revenue and expenses over a period of time.
What is a credit report?,A credit report is a detailed report of an individual's credit history prepared by a credit bureau.
How to invest in stocks?,Investing in stocks involves buying shares of companies in an attempt to make money from dividends and capital gains.
What is the GDP?,Gross Domestic Product (GDP) is the total monetary or market value of all the finished goods and services produced within a country's borders in a specific time period.
What is a recession?,"A recession is a significant decline in economic activity spread across the economy, lasting more than a few months."
What is a depression?,A depression is a severe and prolonged downturn in economic activity.
What is fiscal policy?,Fiscal policy refers to the use of government spending and tax policies to influence economic conditions.
What is monetary policy?,Monetary policy involves the management of money supply and interest rates by central banks.
What is a trade deficit?,A trade deficit occurs when a country's imports exceed its exports.
What is a trade surplus?,A trade surplus occurs when a country's exports exceed its imports.
What is foreign exchange?,Foreign exchange (forex or FX) is the conversion of one currency into another at a specific rate known as the foreign exchange rate.
What is a tariff?,A tariff is a tax imposed by a government on goods and services imported from other countries.
What is a subsidy?,"A subsidy is a benefit given by the government to groups or individuals, usually in the form of a cash payment or tax reduction."
